CardID,CustomerID
295841261,17850.0
491076910,13047.0
966476063,12583.0
396345785,13748.0
135688785,15100.0
412642646,15291.0
698770186,14688.0
407014136,17809.0
474687214,15311.0
789951634,14527.0
222558218,16098.0
531093027,18074.0
940986758,17420.0
462597258,16029.0
271197118,16250.0
204207918,12431.0
782035229,17511.0
389727105,17548.0
142343488,13705.0
965679186,13747.0
712459341,13408.0
465352565,13767.0
774255789,17924.0
864102024,13448.0
141151107,15862.0
387213295,15513.0
167028957,12791.0
584562221,16218.0
795203370,14045.0
277218286,14307.0
813137871,17908.0
455400588,17920.0
361574710,
463068763,12838.0
476513340,13255.0
849935345,16583.0
232669078,18085.0
236453916,13758.0
930657518,13694.0
834820610,15983.0
121770627,14849.0
212511123,17968.0
665308561,16210.0
538882549,17897.0
870827833,17377.0
164911069,16552.0
801165940,17181.0
472599388,17951.0
293359851,14729.0
167095881,12748.0
658575301,15012.0
850745287,12868.0
137591131,17572.0
697656571,14078.0
350006376,14001.0
495300737,12662.0
945697102,15525.0
331844637,14237.0
292282916,17905.0
909669987,15485.0
990828941,12433.0
863147692,16955.0
859723370,15350.0
592354885,15605.0
543909476,18144.0
865590461,15922.0
880172515,14594.0
163647884,15165.0
740290012,14911.0
873972312,16456.0
781893007,17841.0
716863662,12472.0
222657884,17346.0
968574025,17643.0
193223989,17873.0
204990163,13093.0
896155154,12921.0
196060853,13468.0
826022131,17760.0
424610640,16928.0
483831265,16048.0
444418494,16274.0
766965996,14496.0
148517334,14696.0
908008123,16539.0
400045265,17025.0
712884488,13777.0
834973075,17690.0
889846513,12947.0
390506145,17460.0
451040642,18229.0
419681168,14142.0
245486711,17069.0
131850836,13065.0
644719256,14606.0
972160570,16835.0
496822257,15235.0
202444195,13576.0
408219459,18011.0
668843730,13090.0
724278938,15694.0
974178482,14741.0
951421635,13715.0
798254857,14092.0
540287586,17732.0
419099430,12855.0
477455959,15752.0
717207744,17855.0
401887579,14047.0
238293936,17925.0
